scorer,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000
individuals,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,single,single,single,single,single,single
bodyparts,nose,nose,nose,Rear,Rear,Rear,Lear,Lear,Lear,headbase,headbase,headbase,spine,spine,spine,tailbase,tailbase,tailbase,anteriorC,anteriorC,anteriorC,posteriorC,posteriorC,posteriorC
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,0.9959999918937683,,,1.0,,,1.0,,,0.996999979019165,,,1.0,,,1.0,300.955,674.362,0.29499998688697815,,,
1,,669.523,1.0,298.825,,0.9950000047683716,314.868,636.708,1.0,309.715,625.523,0.8270000219345093,309.575,588.294,0.9990000128746033,314.72,548.125,1.0,300.955,674.362,0.3720000088214874,,,
2,,673.518,,299.602,631.271,,321.2,642.99,,312.69,625.523,,311.142,594.059,,320.811,548.779,,300.955,674.362,0.25099998712539673,,,
3,298.639,674.286,1.0,299.904,633.732,1.0,324.393,644.676,1.0,314.302,627.217,1.0,314.655,595.918,1.0,322.133,551.664,1.0,1161.833,,,,,
4,298.605,674.286,1.0,299.686,633.732,1.0,324.393,644.676,1.0,314.228,627.217,1.0,314.655,595.232,1.0,322.133,551.664,1.0,,,,,,
5,297.811,674.286,1.0,299.385,633.732,1.0,324.393,644.676,1.0,314.228,627.217,1.0,314.655,594.532,1.0,322.133,551.664,1.0,1161.833,284.008,0.9190000295639038,,,
6,297.737,674.286,1.0,299.385,634.014,1.0,324.393,645.58,1.0,314.302,627.455,1.0,314.941,594.532,1.0,322.929,551.664,1.0,1161.428,282.011,1.0,,,
